Link,Text
https://www.coventry.gov.uk/a-to-z/service/999/alcohol-misuse-support," Break drug supply chains Deliver a world class treatment and recovery system Achieve a shift in the demand for drugs Reduce Drug and Alcohol related crimes Reduce Drug and Alcohol supply Reduce overall Drug and Alcohol use Reduce Drug and Alcohol-related harms and deaths Increase engagement in Drug and Alcohol treatment Improve long-term recovery Refer yourself or somebody else to CGL here Refer yourself or somebody else to Positive Choices Here Alcohol Units Alcohol Support Tips on cutting down Alcohol Drinkchat - uses trained professionals from the national alcohol support helpline, Drinkline. You can have a web chat with someone at Drinkchat between 9am-2pm on weekdays. Drinkline – Speak to someone at drinkline on 0300 123 1110 (Weekdays 9am – 8pm, Weekends 11am – 4pm) Heroin Addiction Cocaine Addiction FRANK A-Z of drugs FRANK - Feeling pressured to take drugs? FRANK - Advice for parents and carers who are concerned about a child. For friendly, confidential advice call FRANK 24 hours 7 days a week on 0300 123 6600 or text FRANK 82111.  The National Government published “From Harm to Hope”, which is a 10-year plan to cut crime and save lives by reducing the supply and demand for drugs and delivering a high-quality treatment and recovery system. The plan is aiming to: You can view the full plan at: From harm to hope: A 10-year drugs plan to cut crime and save lives Locally Coventry has its own strategy with our vision for people in Coventry to live their lives free from the harms associated with substance abuse. Our six key priorities are: See the Strategy Summary - Coventry Drug and Alcohol Strategy Summary 2023 - 2033 You can view the full Strategy - Coventry Drug and Alcohol Strategy 2023 - 2033 Drug and Alcohol Support Available in Coventry: Change Grow Live (CGL) Coventry:  Offer information, advice and guidance to anybody who is looking to make a change around their use of Drugs or Alcohol. For more information call CGL on 024 7601 0241 or email them on coventry.info.cgl.org.uk. CGL Coventry is based at 1 Lamb Street, Coventry City Centre, CV1 4AE. Positive Choices Coventry: Coventry’s Young Person’s service supports individuals aged 18 and younger and will offer advice and support around drinking and drugs, relationships, and sexual health. For more information call Positive Choices on 024 7655 3130 or email them on coventryyp.infor@cgl.org.uk Healthy Lifestyles Coventry: Proves advice and coaching for individuals looking at cutting down or stopping drinking alcohol. For more information call HLC on 0800 122 3780 or email them on info@hlscoventry.org. HLS Coventry is based on the 2nd Floor, John Sinclair House, Canal Basin, Coventry CV1 4LY. Wider Information and Advice for Alcohol: NHS Alcohol Advice – Advice and support for reducing the amount of alcohol you drink. Drinkaware - Help with learning about the impact of alcohol on you, your family or friends Alcoholics Anonymous - AA is focused solely on the persona; recovery and continued sobriety of individual alcoholics who turn to the fellowship for help. If you need help with a drinking problem either phone the national helpline on 08—9177 650 or email help@aamail.org Wider Information and Advice for Drug Use: NHS Drug Addiction: Getting Help – If you need treatment for a drug addiction, you’re entitled to NHS care in the same way as anyone else who has a health problem. Adfam - Adfam is a national charity who are tackling the negative effects of drugs and alcohol on family members and friends. FRANK – Friendly, confidential drugs advice. FRANK is a national drug education service, and it aims to reduce the abuse of all drug use. It provides the facts and figures to adults and young people about the harms of drug use. "
https://www.coventry.gov.uk/a-to-z/service/821/allesley-parish-council,"  Allesley Parish Council is a statutory authority, first tier of local government which represents the interests of Allesley Parish Electors on, for example, community, planning and environmental issues. Meetings are held at 4/6 weekly intervals at 7.45 pm at the Jaguar Sports and Social Club, Fenton Road, Allesley. Notice of meetings is posted on the parish notice board (junction of Oak Lane and Brick Hill Lane, CV5 9DB). Register of Interests The council is affiliated to the Warwickshire and West Midlands Association of Local Councils - their local office is based at Warwick Enterprise Park, Wellesbourne, CV35 9EF.  Tel 01789 472616 enquiries@walc.org.uk For more information contact Jane Chatterton, Clerk to the Parish Council: Email clerk.allesleypc@outlook.com.
Telephone: 07877 559825
Allesley Parish Council website "
https://www.coventry.gov.uk/a-to-z/service/151/allotments,"  Do you need some good open-air exercise? Interested in gardening? Do you want to grow your own vegetables or flowers and reduce your carbon footprint. If you have answered yes to any of these questions, then an allotment could be for you. Coventry has allotment sites that are rented to local residents. Find locations and plot numbers in the allotment directory. If you would like to apply for a plot or wish to go on the waiting list for a site, please contact Mr D Knight: 07707 871490 between the hours of 9am and 5pm. For any other business, the contact is Covanddistallotments@gmail.com Allotments are not expensive to rent, costing £15 to £46 a year, depending on location and facilities. If you are State pension age, or in receipt of a qualifying benefit, you would be entitled to a Go CV+ discount which would reduce the rental cost even more. Sign up for a Go CV card. "
https://www.coventry.gov.uk/a-to-z/service/718/allowances-and-expenses-for-councillors,"  All councillors receive a basic allowance for the work they do as a councillor and some receive an additional special responsibility allowance where they have significant additional responsibilities. Councillors can also claim childcare, travel, subsistence and telephone expenses. You can view an annual breakdown of the allowances paid to Coventry City councillors and co-opted members since 2005. The Council is required to appoint an Independent Remuneration Panel to review the Member Allowance Scheme. An Independent Remuneration Panel reviewed the scheme in 2020/21 and made recommendations to Council on 8 December 2020 (see documents for item 61) The decisions can be seen in the minutes from this meeting at item 61. Further information about the current Member Allowances Scheme can be found in part five of the Constitution. "
https://www.coventry.gov.uk/a-to-z/service/862/annual-accounts," Statement of Accounts for 2020-21 (Draft) – subject to audit and public inspection. Public inspection notice You can also download the Statement of Accounts for previous years.  The Council's Statement of Accounts is prepared in accordance with the Code of Practice on local authority accounting in the United Kingdom. Delays in the completion of the audit of previous years’ accounts, most notably in relation to 2019-20, has had implications for the following years. The Council has published its 2020-21 draft accounts, see above, and is currently preparing the accounts for 2021-22, 2022-23 and 2023-24. Once completed, these accounts will also be published in draft form and will then be available for public inspection and be subject to audit. "
https://www.coventry.gov.uk/a-to-z/service/736/anti-social-behaviour," street drinking aggressive begging crackhouses and drug dealers prostitution and kerb crawling groups hanging around rowdy behaviour intimidation and harassment litter, rubbish and fly tipping graffiti noisy and nuisance neighbours abandoned vehicles dog fouling other environmental issues  Anti-social behaviour can ruin the quality of life in neighbourhoods. It includes a range of selfish and inconsiderate behaviour - sometimes criminal - and includes: If you believe that a criminal act is taking place as part of this behaviour you should report this to West Midlands Police Many other acts of anti-social behaviour (ASB) can be considered as environmental issues/crime and can include: "
https://www.coventry.gov.uk/a-to-z/service/230/archaeology-,"  Coventry contains an exceptional range of archaeological remains dating from the prehistoric period to the 20th century. Coventry has often suffered from the misconception that much of its history was lost in the Blitz of the Second World War and to the redevelopment that followed, but this is not true. Archaeological work undertaken as part of new developments has shown the extent and significance of surviving archaeological remains in the City, even in intensively developed areas. Archaeological remains are non-renewable and it is therefore essential that they are properly safeguarded - in line with government guidance, the Council's own policies, and recognised best practice - without preventing or discouraging the regeneration, which is essential to Coventry's future. Some archaeological sites in Coventry are protected by law as scheduled monuments, work is not permitted on these sites without the consent of the secretary of state. Archaeological remains can play a positive role in regeneration, providing a context for future development, whilst they can also be an asset to local communities for education, tourism and leisure. "
https://www.coventry.gov.uk/a-to-z/service/195/archives,"  Coventry Archives consists of the archives and Local Records Office and is a treasure trove of information on the history of Coventry and its citizens from medieval times to the present. The huge range of original documents includes books, maps, newspapers, electoral registers and building plans. Photographs, oral history, microfilms and internet sources provide further evidence of the history of the city and the people who have lived here. Whether you're researching for school or college projects, university dissertations, family history or just want to know more about the history of your house, the Coventry Archives is an invaluable free resource and an essential destination. Visit the Coventry Archives' website for more information. "
https://www.coventry.gov.uk/a-to-z/service/935/armed-forces-support,"  The Armed Forces Community Covenant was developed and signed in June 2012 by a range of statutory agencies, voluntary and military charities in support of the national Armed Forces Covenant. These agencies have formed a partnership to progress the Covenant across the Coventry, Solihull and Warwickshire sub-region. The partnership is chaired and led by Warwickshire County Council and has both strategic and operational (co-ordination) level groups. Coventry City Council, Solihull Borough Council and Warwickshire County Council are represented and participate in both these groups with a variety of organisations from across the sub-region and is known as the CSW Armed Forces Covenant Partnership. The Armed Forces Covenant recognises that the whole nation has a moral obligation to members of the armed forces and their families, and it establishes how they should expect to be treated. The covenant exists to redress the disadvantages that the armed forces community may face in comparison to other citizens, and to recognise sacrifices made. The Armed Forces Covenant is supported by the Community Covenant. The Armed Forces Community Covenant is a voluntary statement of mutual support between a civilian community and its local Armed Forces Community and encourages local communities to support the armed forces community in their area and promote public understanding and awareness. The covenant has established a working group which includes representation from armed forces units, military welfare and veteran support agencies and charities and local authorities. The practical actions of the covenant will be coordinated, managed and monitored by this group. Ideas that support the military community and encourage wider community integration can be developed by anyone or any organisation, for example, sharing experience, knowledge and exchanging examples of good practice and goodwill are welcome. Further information about the CSW Armed Forces Covenant Partnership can be found on the Warwickshire County Council website. "
https://www.coventry.gov.uk/a-to-z/service/887/asbestos," double bagged or wrapped in heavy duty plastic sheeting not sticking out from the packaging no more than 6.5 feet (2 metres) x 3.2 feet (1 metres) kept damp  More information on controlled waste, including: No more than 6 sacks (or equivalent) per month. The asbestos must be: Anyone who has not adequately packaged their asbestos, will be asked to wrap it before being allowed to dispose of it You are not permitted to break up asbestos on site. Small numbers of plasterboard sheets from home DIY can be disposed of at the Household Recycling and Disposal Centre (the tip). This service is for householders only. If there is any doubt about the origin of the waste you are bringing, you may be required to sign a disclaimer note, or you could be denied access. About household clinical waste disposal For more information about specific items and quantities please see our A-Z of rubbish and recycling. "
https://www.coventry.gov.uk/a-to-z/service/1078/attendance-and-inclusion,  
https://www.coventry.gov.uk/a-to-z/service/860/audit-and-procurement-committee-," the Council's Internal and External Audit functions the Council's accounts the Council's ""whistleblowing"" and anti-fraud and anti-corruption policies the monitoring of the development and operation of the Council's risk management arrangements Dates, times and location of meetings Membership of the Audit and Procurement Committee Watch upcoming and previous meetings on YouTube  The Council first appointed an Audit Committee in May 2009. The Committee reports directly to the full Council. The membership of the Committee must reflect the political make-up of the Council and does not include Cabinet Members. Although its members can also be members of Scrutiny Boards, the Chair and Deputy Chair must not be the Chair or Deputy Chair of a Scrutiny Board. The Committee considers issues relating to: "
